bloque;period;camera;charact_SBOF;ID original;lat;lon;fecha act;hora act;fecha desact;hora desact;fecha desact real;hora desact real;dias de trabajo;ele;nombre del lugar;habitat;NDVI.bloque;Ndvi.celda;si se quema;quema.celda;Si se caza aqui;caza.celda;caza.celda2;caza.bloque;conuco.dist.m;ln.conuco.dis;buf.fragmen;ln.buf.frag;dist.comun
B06;P2;IS11;b0;Is11-n;5,5216;-61,1907;2015-12-02;12:45:00;2016-02-03;09:32;2016-02-03;9:32:00;63;1158,573364;Wuarapata;bosque primario;0,539494;0,631;no;0;no;0;0;7;310,8;5,7;37;3,610917913;0,036147956
B06;P1;IS18;S0;Is18;5,491164979;-61,17481202;2015-09-29;12:50:00;2015-12-01;14:35;2015-12-01;14:35:00;63;1112;quebrada Auriepa;borde bosque;0,539494;0,462;si;1;no;0;0;7;805,4;6,7;9;2,197224577;0,027932301
B06;P3;IS18;s0;Is18-2n;5,5075;-61,1620;2016-02-03;11:41:00;2016-03-31;14:36;2016-03-01;11:59:35;27;561,605042;Wuarapata;sabana;0,539494;0,478;si;1;no;0;0;7;1444,9;7,3;9;2,197224577;0,007415601
B06;P2;IS18;bF;Is18-n;5,5153;-61,1837;2015-12-02;11:00:00;2016-02-03;08:37;2016-02-03;8:37:00;63;1046,502441;Wuarapata;bosque primario;0,539494;0,627;no;0;no;0;0;7;235,7;5,5;64;4,158883083;0,028017754
B06;P1;LEE05;sF;Lee05;5,49633896;-61,15676897;2015-09-29;10:30:00;2015-12-01;10:05:50;2015-12-01;10:05:50;63;959;quebrada Maura;bosque;0,539494;0,518;no;0;si;1;1;7;932,5;6,8;23;3,135494216;0,015439203
B06;P2;LEE05;sF;Lee05;5,49633896;-61,15676897;2015-12-01;10:05:00;2016-01-31;11:21:00;2016-01-31;11:21:00;61;959;quebrada Maura;bosque;0,539494;0,518;no;0;si;1;1;7;932,5;6,8;23;3,135494216;0,015439203
B06;P3;LEE05;SF;Lee05-n;5,4980;-61,1461;2016-01-30;12:59:00;2016-03-31;10:20;2016-03-30;11:19:00;60;949,22998;Wuarapata;sabana/bosque;0,539494;0,550;si;1;no;0;0;7;271,3;5,6;37;3,610917913;0,01695447
B06;P1;LEE06;bF;Lee06;5,490932968;-61,16616399;2015-09-29;14:09:00;2015-12-01;13:38;2015-11-02;23:48:10;34;1091;conuco cap. Narcizo;bosque;0,539494;0,689;no;0;si;1;1;7;263,6;5,6;76;4,33073334;0,023198328
B07;P4;Is07_K;B0;Is07_K;5,728667;-61,823162;2018-05-05;09:27;2018-07-08;15:00;2018-07-01;20:15;57;;Ptari tepui;bosque;;;no;0;si;1;1;3;7767,0;9,0;95;4,556459869;0,010232709
B07;P4;Is18_K;B0;Is18_K;5,705220;-61,830347;2018-05-07;10:27;2018-07-08;13:53;2018-07-08;13:53;62;;Ptari tepui;bosque;;;no;0;si;1;1;3;5027,0;8,5;99;4,595001661;0,002780249
B07;P4;Is20_K;B0;Is20_K;5,713684;-61,827667;2018-05-05;07:51;2018-07-08;14:00;2018-07-08;14:00;64;;Ptari tepui;bosque;;;no;0;si;1;1;3;6215,0;8,7;98;4,589965173;0,023097320
B07;P4;Is23_K;b0;Is23_K;5,726831;-61,809609;2018-05-05;11:51;2018-07-08;15:54;2018-07-08;15:54;64;;Ptari tepui;bosque;;;no;0;no;0;0;3;8203,0;9,0;78;4,359253023;0,072467572
B08;P4;Is09_K;bf;Is09_K;5,626985;-61,696686;2018-05-09;10:35;2018-07-05;16:17;2018-07-05;16:17;57;;cierra;bosque;;;no;0;antes;2;0;0;1629,0;7,4;60;4,099162935;0,004595446
B08;P4;Is15_K;b0;Is15_K;5,631528;-61,694311;2018-05-09;11:15;2018-07-09;11:36;2018-07-09;11:36;61;;cierra;bosque;;;no;0;antes;2;0;0;1114,0;7,0;41;3,723703497;0,015928206
B08;P4;Is16_K;bF;Is16_K;5,637459;-61,748118;2018-05-08;12:18;2018-07-07;11:00;2018-07-07;11:00;60;;Chiru Maru;bosque;;;no;0;antes;2;0;0;824,0;6,7;65;4,174248799;0,026920305
B08;P4;Is19_K;bf;Is19_K;5,629959;-61,744264;2018-05-08;13:30;2018-07-07;10:30;2018-07-07;10:30;60;;Coromoio;bosque;;;no;0;antes;2;0;0;125,0;4,8;46;3,835208913;0,014762333
B09;P4;Is03_K;SF;Is03_K;5,667459;-61,539025;2018-05-10;15:02;2018-07-04;15:30;2018-05-14;13:14;4;;Parupa;bosque;;;no;0;si;1;1;2;989,0;6,9;8;2,036543174;0,006067541
B09;P4;Is04_K;sF;Is04_K;5,677151;-61,540839;2018-05-10;11:39;2018-07-04;17:30;2018-05-13;17:05;3;;Parupa;bosque;;;no;0;si;1;1;2;236,0;5,5;6;1,856736957;0,038218154
B09;P4;Is12_K;sF;Is12_K;5,714127;-61,523803;2018-05-11;09:07;2018-07-04;15:30;2018-07-04;15:30;54;;mision antigua;bosque;;;si;1;no;0;0;2;4772,0;8,5;6;1,857920112;0,050466383
B09;P4;Is21_K;sf;Is21_K;5,678565;-61,547073;2018-05-11;17:47;2018-07-04;17:10;2018-07-04;17:10;54;;Parupa;bosque;;;no;0;no;0;0;2;618,0;6,4;4;1,472967348;0,029852314
B10;P4;Is06_K;bf;Is06_K;5,570331;-61,485621;2018-05-18;12:32;2018-07-05;11:03;2018-07-05;11:03;48;;Salto Aponwao;bosque;;;no;0;no;0;0;0;1721,0;7,5;17;2,832195179;0,058236604
B10;P4;Is10_K;S0;Is10_K;5,577290;-61,487658;2018-05-11;14:34;2018-07-05;11:38;2018-05-11;12:13;0;;sabana;sabana;;;no;0;no;0;0;0;1716,0;7,4;1;-0,185367391;0,004003655
