number,TI,authors,total citations,objective_principal,second_objective,third_objective,fourth_objective,extra_objective,multiobj,animal,kingdoms,carnivore,ungulate,primate,multispecies,technic,equipment,country,continent,source_title,publication_date,publication_year,volume,issue,total citations,doi
60,FORAGING AND HABITAT USE OF COMMON DUIKERS SYLVICAPRA GRIMMIA IN A HETEROGENEOUS ENVIRONMENT WITHIN THE SOUTPANSBERG SOUTH AFRICA,Abu Baker Mohammad A.; Brown Joel S.,3,density,foraging, habitat use,,,MultiObj,duikes,mammals,,Ungulates,,,,ct,South Africa,Africa,AFRICAN JOURNAL OF ECOLOGY,SEP 2014,2014,52,3,,
61,DEVIL DECLINES AND CATASTROPHIC CASCADES: IS MESOPREDATOR RELEASE OF FERAL CATS INHIBITING RECOVERY OF THE EASTERN QUOLL?,Fancourt Bronwyn A.; Hawkins Clare E.; Cameron Elissa Z.; Jones Menna E.; Nicol Stewart C.,7,interaction,predator relase,,,,MultiObj,feral cat,mammals,carnivore,,,,,ct,Australia,Australia,PLOS ONE,MAR 11 2015,2015,10,3,,
62,DISTRIBUTION OCCUPANCY AND HABITAT ASSOCIATIONS OF THE GRAY-FACED SENGI (RHYNCHOCYON UDZUNGWENSIS) AS REVEALED BY CAMERA TRAPS,Rovero Francesco; Collett Leah; Ricci Silvia; Martin Emanuel; Spitale Daniel,5,distribution,occupancy and habitat associations,habitat use,,,MultiObj,gray faced sengi,mammals,,,primate,,,ct,Tanzania,Africa,JOURNAL OF MAMMALOGY,AUG 2013,2013,94,4,,
63,INTERACTIVE EFFECTS OF NITROGEN DEPOSITION AND GRAZING ON PLANT SPECIES COMPOSITION IN A SERPENTINE GRASSLAND,Pasari Jae R.; Hernandez Daniel L.; Zavaleta Erika S.,5,diversity,,,,,,grazer,mammals,,,,,,ct,USA,North America,RANGELAND ECOLOGY & MANAGEMENT,NOV 2014,2014,67,6,,
64,FATAL ATTRACTION: VEGETATION RESPONSES TO NUTRIENT INPUTS ATTRACT HERBIVORES TO INFECTIOUS ANTHRAX CARCASS SITES,Turner Wendy C.; Kausrud Kyrre L.; Krishnappa Yathin S.; Cromsigt Joris P. G. M.; Ganz Holly H.; Mapaure Isaac; Cloete Claudine C.; Havarua Zepee; Kuesters Martina; Getz Wayne M.; Stenseth Nils Chr.,7,behaviour,parasite recation,,,scavenging,MultiObj,herbivours,mammals,,Ungulates,,,,ct,Namibia,Africa,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,NOV 22 2014,2014,281,1795,,
65,CONTINUOUS-TIME SPATIALLY EXPLICIT CAPTURE-RECAPTURE MODELS WITH AN APPLICATION TO A JAGUAR CAMERA-TRAP SURVEY,Borchers David; Distiller Greg; Foster Rebecca; Harmsen Bart; Milazzo Lorenzo,9,methodology,,,,,,jaguar,mammals,carnivore,,,,SERC,,,,METHODS IN ECOLOGY AND EVOLUTION,JUL 2014,2014,5,7,,
66,REMOVAL OF POST-DISPERSED SEEDS IN ACACIA CYCLOPS THICKETS UNDER BIOLOGICAL CONTROL IN SOUTH AFRICA,Mokotjomela T. M.; Hoffmann J. H.,5,seed_dispersal,,,,biological control,MultiObj,mammals,mammals,,,,,,ct,Africa,Africa,SOUTH AFRICAN JOURNAL OF BOTANY,SEP 2013,2013,88,,,
67,DISTRIBUTION OF WILD MAMMAL ASSEMBLAGES ALONG AN URBAN-RURAL-FOREST LANDSCAPE GRADIENT IN WARM-TEMPERATE EAST ASIA,Saito Masayuki; Koike Fumito,6,distribution,,,,urbanization impact,MultiObj,mammals,mammals,,,,,,ct,Asia,Asia,PLOS ONE,MAY 31 2013,2013,8,5,,
68,EVALUATING MULTISPECIES LANDSCAPE CONNECTIVITY IN A THREATENED TROPICAL MAMMAL COMMUNITY,Brodie Jedediah F.; Giordano Anthony J.; Dickson Brett G.; Hebblewhite Mark; Bernard Henry; Mohd-Azlan Jayasilan; Anderson Jesse; Ambu Laurentius,6,abundance,ecological corridors fragmentation,,,,,mammals,mammals,,,,,,ct,Borneo,Asia,CONSERVATION BIOLOGY,FEB 2015,2015,29,1,,
69,USING ARTIFICIAL PASSAGEWAYS TO FACILITATE THE MOVEMENT OF WILDLIFE ON NAMIBIAN FARMLAND,Weise Florian J.; Wessels Quenton; Munro Stuart; Solberg Matthew,3,presence,,,,green bridge ,MultiObj,mammals,mammals,,,,,,ct,Namibia,Africa,SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH,OCT 2014,2014,44,2,,
70,COMPARING CAPTURE-RECAPTURE MARK-RESIGHT AND SPATIAL MARK-RESIGHT MODELS FOR ESTIMATING PUMA DENSITIES VIA CAMERA TRAPS,Rich Lindsey N.; Kelly Marcella J.; Sollmann Rahel; Noss Andrew J.; Maffei Leonardo; Arispe Rosario L.; Paviolo Agustin; De Angelo Carlos D.; Di Blanco Yamai E.; Di Bitetti Mario S.,4,methodology,density,,,,MultiObj,puma,mammals,carnivore,,,,,,,,JOURNAL OF MAMMALOGY,APR 15 2014,2014,95,2,,
71,IMPACT OF FARMLAND USE ON POPULATION DENSITY AND ACTIVITY PATTERNS OF SERVAL IN SOUTH AFRICA,Ramesh Tharmalingam; Downs Colleen T.,7,abundance,activity pattern,,,farmland use,MultiObj,serval,mammals,carnivore,,,,cr,ct,South Africa,Africa,JOURNAL OF MAMMALOGY,DEC 2013,2013,94,6,,
72,USE OF CAMERA TRAPS TO DETERMINE DISPERSAL OF TIGERS IN SEMI-ARID LANDSCAPE WESTERN INDIA,Singh Randeep; Qureshi Qamar; Sankar Kalyanasundaram; Krausman Paul R.; Goyal Surendra Prakash,14,dispersal,,,,,,tiger,mammals,carnivore,,,,,ct,India,Asia,JOURNAL OF ARID ENVIRONMENTS,NOV 2013,2013,98,,,
73,FIRST PARTURITION OF TIGERS IN A SEMI-ARID HABITAT WESTERN INDIA,Singh Randeep; Krausman Paul R.; Pandey Puneet; Qureshi Qamar; Sankar Kalyanasundaram; Goyal Surendra Prakash; Tripathi Anshuman,7,presence,behaviour,,,,MultiObj,tiger,mammals,carnivore,,,,,ct,India,Asia,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,APR 2014,2014,60,2,,
74,EVALUATING HETEROGENEITY OF SEX-SPECIFIC CAPTURE PROBABILITY AND PRECISION IN CAMERA-TRAP POPULATION ESTIMATES OF TIGERS,Singh Randeep; Qureshi Qamar; Sankar Kalyanasundaram; Krausman Paul R.; Goyal Surendra Prakash,3,density,sexula ratio,,,,MultiObj,tiger,mammals,carnivore,,,,secr,ct,India,Asia,WILDLIFE SOCIETY BULLETIN,DEC 2014,2014,38,4,,
75,MONITORING AN ENDANGERED SAVANNAH UNGULATE GREVY'S ZEBRA EQUUS GREVYI: CHOOSING A METHOD FOR ESTIMATING POPULATION DENSITIES,Zero Victoria H.; Sundaresan Siva R.; O'Brien Timothy G.; Kinnaird Margaret F.,5,density,,,,,,zebre,mammals,,Ungulates,,,rem cr,ct,Africa,Africa,ORYX,JUL 2013,2013,47,3,,
76,FACTORS AND MECHANISMS THAT EXPLAIN COEXISTENCE IN A MEDITERRANEAN CARNIVORE ASSEMBLAGE: AN INTEGRATED STUDY BASED ON CAMERA TRAPPING AND DIET,Barrull J.; Mate I.; Ruiz-Olmo J.; Casanovas J. G.; Gosalbez J.; Salicru M.,7,distribution,behaviour,,,managment and conservation,MultiObj,,,,,,,,ct diet,Europe,Europe,MAMMALIAN BIOLOGY,FEB 2014,2014,79,2,,
77,EFFECTIVE SOCIODEMOGRAPHIC POPULATION ASSESSMENT OF ELUSIVE SPECIES IN ECOLOGY AND CONSERVATION MANAGEMENT,Head Josephine S.; Boesch Christophe; Robbins Martha M.; Rabanal Luisa I.; Makaga Loic; Kuehl Hjalmar S.,7,density,community ecology,,,conservation and menagment,MultiObj,,,,,,,serc,ct,Gabon,Africa,ECOLOGY AND EVOLUTION,SEP 2013,2013,3,9,,
78,OPTIMIZING THE SIZE OF THE AREA SURVEYED FOR MONITORING A EURASIAN LYNX (LYNX LYNX) POPULATION IN THE SWISS ALPS BY MEANS OF PHOTOGRAPHIC CAPTURE-RECAPTURE,Zimmermann Fridolin; Breitenmoser-Wuersten Christine; Molinari-Jobin Anja; Breitenmoser Urs,9,density,,,,,,,,,,,,cr scr,ct,Switzeland,Europe,INTEGRATIVE ZOOLOGY,SEP 2013,2013,8,3,,
79,USING TIME-TO-EVENT ANALYSIS TO COMPLEMENT HIERARCHICAL METHODS WHEN ASSESSING DETERMINANTS OF PHOTOGRAPHIC DETECTABILITY DURING CAMERA TRAPPING,Bischof Richard; Hameed Shoaib; Ali Hussain; Kabir Muhammad; Younas Muhammad; Shah Kursheed A.; Din Jaffar U.; Nawaz Muhammad A.,5,methodology,,,,,,,,,,,,,,,,METHODS IN ECOLOGY AND EVOLUTION,JAN 2014,2014,5,1,,
80,DETECTING MAMMALS IN HETEROGENEOUS LANDSCAPES: IMPLICATIONS FOR BIODIVERSITY MONITORING AND MANAGEMENT,Swan Matthew; Di Stefano Julian; Christie Fiona; Steel Erin; York Alan,4,review,,,,,,,,,,,,,,,,BIODIVERSITY AND CONSERVATION,FEB 2014,2014,23,2,,
81,HORIZONTAL OR VERTICAL? CAMERA TRAP ORIENTATIONS AND RECORDING MODES FOR DETECTING POTOROOS BANDICOOTS AND PADEMELONS,Taylor Brendan D.; Goldingay Ross L.; Lindsay John M.,4,methodology,,,,,,,,,,,,,,,,AUSTRALIAN MAMMALOGY,2014,2014,36,1,,
82,SPATIAL CAPTURE-RECAPTURE MODEL PERFORMANCE WITH KNOWN SMALL-MAMMAL DENSITIES,Gerber Brian D.; Parmenter Robert R.,3,methodology,,,,,,,,,,,,scr,,,,ECOLOGICAL APPLICATIONS,APR 2015,2015,25,3,,
83,A NOVEL METHOD TO REDUCE TIME INVESTMENT WHEN PROCESSING VIDEOS FROM CAMERA TRAP STUDIES,Swinnen Kristijn R. R.; Reijniers Jonas; Breno Matteo; Leirs Herwig,3,methodology,,,,,,,,,,,,,,,,PLOS ONE,JUN 11 2014,2014,9,6,,
84,SEASONAL HABITAT USE OF AGOUTIS (DASYPROCTA AZARAE) IS DRIVEN BY THE PALM ATTALEA PHALERATA IN BRAZILIAN PANTANAL,Cid Bruno; Oliveira-Santos Luiz Gustavo R.; Mourao Guilherme,2,habitat_use,,,,,,agouti,mammals,,,,,,ct,Brazil,South and Central America,BIOTROPICA,MAY 2013,2013,45,3,,
85,ASSESSMENT OF LANDSCAPE-SCALE DISTRIBUTION OF SYMPATRIC GREAT APES IN AFRICAN RAINFORESTS: CONCURRENT USE OF NEST AND CAMERA-TRAP SURVEYS,Nakashima Yoshihiro; Iwata Yuji; Ando Chieko; Nkoguee Chimene Nze; Inoue Eiji; Akomo Etienne-Francois Okoue; Nguema Philippe Mbehang; Bineni Thierry Diop; Banak Ludovic Ngok; Takenoshita Yuji; Ngomanda Alfred; Yamagiwa Juichi,5,distribution,,,,sympatric species,MultiObj,apes,mammals,,,primate,,,ct nes survey,Africa,Africa,AMERICAN JOURNAL OF PRIMATOLOGY,DEC 2013,2013,75,12,,
86,QUANTIFYING CHANGES IN SUN BEAR DISTRIBUTION AND THEIR FOREST HABITAT IN SUMATRA,Wong W-M.; Leader-Williams N.; Linkie M.,3,distribution,,,,,,bear,mammals,carnivore,,,,,ct,Sumatra,Asia,ANIMAL CONSERVATION,APR 2013,2013,16,2,,
87,CAMERA TRAP OBSERVATIONS OF NONHABITUATED CRITICALLY ENDANGERED WILD BLONDE CAPUCHINS SAPAJUS FLAVIUS (FORMERLY CEBUS FLAVIUS),Bezerra B. M.; Bastos M.; Souto A.; Keasey M. P.; Eason P.; Schiel N.; Jones G.,3,presence,,,,,,capuchins,mammals,,,primate,,,ct,Brazil,South and Central America,INTERNATIONAL JOURNAL OF PRIMATOLOGY,OCT 2014,2014,35,5,,
88,POPULATION AND HABITAT CHARACTERISTICS OF CARACAL IN SEMI-ARID LANDSCAPE WESTERN INDIA,Singh Randeep; Qureshi Qamar; Sankar Kalyanasundaram; Krausman Paul R.; Goyal Surendra Prakash,2,presence,,,,,,caracal,mammals,carnivore,,,,,ct,India,Asia,JOURNAL OF ARID ENVIRONMENTS,APR 2014,2014,103,,,
89,ESTIMATING AND MITIGATING PERINATAL MORTALITY IN THE ENDANGERED SAIMAA RINGED SEAL (PHOCA HISPIDA SAIMENSIS) IN A CHANGING CLIMATE,Auttila Miina; Niemi Marja; Skrzypczak Teresa; Viljanen Markku; Kunnasranta Mervi,4,presence,,,,,,carnivore seal,,,,,Multiple,,ct,Finland,Europe,ANNALES ZOOLOGICI FENNICI,DEC 2014,2014,51,6,,
90,PLASTICITY IN CIRCADIAN ACTIVITY PATTERNS OF MESOCARNIVORES IN SOUTHWESTERN EUROPE: IMPLICATIONS FOR SPECIES COEXISTENCE,Monterroso Pedro; Alves Paulo Celio; Ferreras Pablo,6,activity_pattern,,,,,,carnivores,mammals,carnivore,,,,,ct,Europe,Europe,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,SEP 2014,2014,68,9,,
91,BEING THE UNDERDOG: AN ELUSIVE SMALL CARNIVORE USES SPACE WITH PREY AND TIME WITHOUT ENEMIES,Bischof R.; Ali H.; Kabir M.; Hameed S.; Nawaz M. A.,7,behaviour,predator and prey,,,,MultiObj,carnivores,mammals,carnivore,,,,,ct,Pakistan,Asia,JOURNAL OF ZOOLOGY,MAY 2014,2014,293,1,,
92,GIVING THE FOREST EYES: THE BENEFITS OF USING CAMERA TRAPS TO STUDY UNHABITUATED CHIMPANZEES (PAN TROGLODYTES VERUS) IN SOUTHEASTERN SENEGAL,Boyer-Ontl Kelly M.; Pruetz Jill D.,3,behaviour,,,,,,chimpanzees,mammals,,,primate,,,ct,Senegal,Africa,INTERNATIONAL JOURNAL OF PRIMATOLOGY,OCT 2014,2014,35,5,,
93,EVALUATION OF CAMERA TRAP SURVEYS FOR ESTIMATION OF SIKA DEER HERD COMPOSITION,Ikeda Takashi; Takahashi Hiroshi; Yoshida Tsuyoshi; Igota Hiromasa; Kaji Koichi,3,sex_ratio,,,,,,deer,mammals,,Ungulates,,single,,ct,Asia,Asia,MAMMAL STUDY,MAR 2013,2013,38,1,,
94,OCCUPANCY MODELS FOR MONITORING MARINE FISH: A BAYESIAN HIERARCHICAL APPROACH TO MODEL IMPERFECT DETECTION WITH A NOVEL GEAR COMBINATION,Coggins Lewis G. Jr.; Bacheler Nathan M.; Gwinn Daniel C.,7,occupancy,,,,,,fish,fish,,,,,,camera fish traps,USA,North America,PLOS ONE,SEP 25 2014,2014,9,9,,
95,DOES FIRE INFLUENCE THE LANDSCAPE-SCALE DISTRIBUTION OF AN INVASIVE MESOPREDATOR?,Payne Catherine J.; Ritchie Euan G.; Kelly Luke T.; Nimmo Dale G.,2,distribution,,,,fire,MultiObj,fox ,mammals,carnivore,,,,,ct,Australia,Australia,PLOS ONE,OCT 7 2014,2014,9,10,,
96,BURROWING BEHAVIOUR OF THE NORTHERN HOPPING-MOUSE (NOTOMYS AQUILO): FIELD OBSERVATIONS,Diete Rebecca L.; Meek Paul D.; Dickman Christopher R.; Leung Luke K. -P.,3,behaviour,,,,,,hopping mouse,mammals,,,,,,ct,Australia,Australia,AUSTRALIAN MAMMALOGY,2014,2014,36,2,,
97,THE IMPORTANCE OF FARMLAND FOR THE CONSERVATION OF THE BROWN HYAENA PARAHYAENA BRUNNEA,Kent Vivien T.; Hill Russell A.,6,density,,,,farmland use,MultiObj,hyaena,mammals,carnivore,,,,,ct,Bostwana,Africa,ORYX,JUL 2013,2013,47,3,,
98,RHINOCEROS BEETLES SUFFER MALE-BIASED PREDATION BY MAMMALIAN AND AVIAN PREDATORS,Kojima Wataru; Sugiura Shinji; Makihara Hiroshi; Ishikawa Yukio; Takanashi Takuma,2,interaction,predation,,,,MultiObj,insect mammals birds,,,,,Multiple,,ct,Japan,Asia,ZOOLOGICAL SCIENCE,MAR 2014,2014,31,3,,
99,HABITAT FEATURES INFLUENCING JAGUAR PANTHERA ONCA (CARNIVORA: FELIDAE) OCCUPANCY IN TORTUGUERO NATIONAL PARK COSTA RICA,Arroyo-Arce Stephanny; Guilder James; Salom-Perez Roberto,3,occupancy,habitat features,,,,MultiObj,jaguar,mammals,carnivore,,,,,ct survey,Costa Rica,South and Central America,REVISTA DE BIOLOGIA TROPICAL,DEC 2014,2014,62,4,,
100,FACTORS INFLUENCING THE DISTRIBUTION OF LEOPARD IN A SEMIARID LANDSCAPE OF WESTERN INDIA,Mondal Krishnendu; Sankar K.; Qureshi Qamar,3,distribution,,,,,,leopard,mammals,carnivore,,,,,ct,India,Asia,ACTA THERIOLOGICA,APR 2013,2013,58,2,,
101,CALIBRATING A CAMERA TRAP-BASED BIASED MARK-RECAPTURE SAMPLING DESIGN TO SURVEY THE LEOPARD POPULATION IN THE N'WANETSI CONCESSION KRUGER NATIONAL PARK SOUTH AFRICA,Maputla Nakedi W.; Chimimba Christian T.; Ferreira Sam M.,5,density,,,,,,leopard,mammals,carnivore,,,,cr,ct,South Africa,Africa,AFRICAN JOURNAL OF ECOLOGY,SEP 2013,2013,51,3,,
102,ABUNDANCE AND DENSITY ESTIMATES FOR COMMON LEOPARD PANTHERA PARDUS AND CLOUDED LEOPARD NEOFELIS NEBULOSA IN MANAS NATIONAL PARK ASSAM INDIA,Borah Jimmy; Sharma Tridip; Das Dhritiman; Rabha Nilmani; Kakati Niraj; Basumatary Ajit; Ahmed M. Firoz; Vattakaven Joseph,3,abundance,density,,,,MultiObj,leopard coluded leopard,mammals,carnivore,,,,pledger model mh,ct,India,Asia,ORYX,JAN 2014,2014,48,1,,
103,MOVEMENT ACTIVITY AND HUNTING BEHAVIOUR OF LEOPARDS IN THE CEDERBERG MOUNTAINS SOUTH AFRICA,Martins Quinton; Harris Stephen,5,behaviour,,,,,,leopards,mammals,carnivore,,,,,ct,South Africa,Africa,AFRICAN JOURNAL OF ECOLOGY,DEC 2013,2013,51,4,,
104,DENSITY ESTIMATIONS OF THE EURASIAN LYNX (LYNX LYNX) IN THE SWISS ALPS,Pesenti Elias; Zimmermann Fridolin,10,density,,,,,,lynx,mammals,carnivore,,,,scr,ct,Europe,Europe,JOURNAL OF MAMMALOGY,FEB 2013,2013,94,1,,
105,WHITE-CHEEKED MACAQUE (MACACA LEUCOGENYS): A NEW MACAQUE SPECIES FROM MEDOG SOUTHEASTERN TIBET,Li Cheng; Zhao Chao; Fan Peng-Fei,3,presence,,,,new species,MultiObj,macaque,mammals,,,primate,,,ct,Tibet,Asia,AMERICAN JOURNAL OF PRIMATOLOGY,JUL 2015,2015,77,7,,
106,OCCURRENCE OF INVASIVE MAMMALS IN SOUTHERN NAHUEL HUAPI NATIONAL PARK,Gantchoff Mariela G.; Belant Jerrold L.; Masson Diego A.,2,presence,,,,invasive mammals,MultiObj,mammals,mammals,,,,,,ct,Argentina,South and Central America,STUDIES ON NEOTROPICAL FAUNA AND ENVIRONMENT,DEC 1 2013,2013,48,3,,
107,CAN COMMUNITY OUTREACH ALLEVIATE POACHING PRESSURE AND RECOVER WILDLIFE IN SOUTH-EAST ASIAN PROTECTED AREAS?,Steinmetz Robert; Srirattanaporn Surasak; Mor-Tip Jirati; Seuaturien Naret,9,presence,,,,hunting/pouching,MultiObj,mammals,mammals,,,,,,ct and survey,Asia,Asia,JOURNAL OF APPLIED ECOLOGY,DEC 2014,2014,51,6,,
108,HOW TO SNAP YOUR CAT: OPTIMUM LURES AND THEIR PLACEMENT FOR ATTRACTING MAMMALIAN PREDATORS IN ARID AUSTRALIA,Read J. L.; Bengsen A. J.; Meek P. D.; Moseby K. E.,2,methodology,lures revision,,,,MultiObj,mammals,mammals,,,,,,ct,Australia,Australia,WILDLIFE RESEARCH,2015,2015,42,1,,
109,INFLUENCE OF CAMERA-TRAP SAMPLING DESIGN ON MAMMAL SPECIES CAPTURE RATES AND COMMUNITY STRUCTURES IN SOUTHEASTERN BRAZIL,Srbek-Araujo Ana Carolina; Chiarello Adriano Garcia,6,distribution,comparition of methodpogy different design,,,,MultiObj,mammals,mammals,,,,,,ct,Brazil,South and Central America,BIOTA NEOTROPICA,APR-JUN 2013,2013,13,2,,
110,FLOOD-MEDIATED USE OF HABITAT BY LARGE AND MIDSIZED MAMMALS IN THE BRAZILIAN PANTANAL,De Lazari Patrick Ricardo; dos Santos-Filho Manoel; Canale Gustavo Rodrigues; Graipel Mauricio Eduardo,2,habitat_use,,,,,,mammals,mammals,,,,,,ct,Brazil,South and Central America,BIOTA NEOTROPICA,APR-JUN 2013,2013,13,2,,
111,SAMPLING MAMMALIAN CARNIVORES IN WESTERN THAILAND: ISSUES OF RARITY AND DETECTABILITY,Chutipong Wanlop; Lynam Antony J.; Steinmetz Robert; Savini Tommaso; Gale George A.,3,diversity,,,,,,mammals,mammals,,,,,,ct,Thailand,Asia,RAFFLES BULLETIN OF ZOOLOGY,2014,2014,62,,,
112,THE USE OF CAMERA TRAPS TO IDENTIFY THE SET OF SCAVENGERS PREYING ON THE CARCASS OF A GOLDEN SNUB-NOSED MONKEY (RHINOPITHECUS ROXELLANA),Huang Zhi-Pang; Qi Xiao-Guang; Garber Paul A.; Jin Tong; Guo Song-Tao; Li Sheng; Li Bao-Guo,4,scavenging,,,,,,monkey,mammals,,,primate,Single,,ct,China,Asia,PLOS ONE,FEB 3 2014,2014,9,2,,
113,DRY SEASON FACTORS DETERMINING HABITAT USE AND DISTRIBUTION OF MOUSE DEER (MOSCHIOLA INDICA) IN THE WESTERN GHATS,Ramesh Tharmalingam; Kalle Riddhika; Sankar Kalyanasundaram; Qureshi Qamar,9,habitat_use,climate,distribution,,,MultiObj,mouse deer,mammals,,,,Multiple,,ct,India,Asia,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,APR 2013,2013,59,2,,
114,COMPARISON OF NONINVASIVE GENETICS AND CAMERA TRAPPING FOR ESTIMATING POPULATION DENSITY OF OCELOTS (LEOPARDUS PARDALIS) ON BARRO COLORADO ISLAND PANAMA,Rodgers Torrey W.; Giacalone Jacalyn; Heske Edward J.; Janecka Jan E.; Phillips Christopher A.; Schooley Robert L.,3,density,,,,,,ocelot,mammals,carnivore,,,,cr,ct genetics,Panama,South and Central America,TROPICAL CONSERVATION SCIENCE,2014,2014,7,4,,
115,PREDATOR-PRIMATE DISTRIBUTION ACTIVITY AND CO-OCCURRENCE IN RELATION TO HABITAT AND HUMAN ACTIVITY ACROSS FRAGMENTED AND CONTIGUOUS FORESTS IN NORTHEASTERN MADAGASCAR,Farris Zach J.; Karpanty Sarah M.; Ratelolahy Felix; Kelly Marcella J.,7,activity_pattern,distribution,occurance,,fragmentation,MultiObj,primate,mammals,,,primate,,,ct survey transect,Madagascar,Africa,INTERNATIONAL JOURNAL OF PRIMATOLOGY,OCT 2014,2014,35,5,,
116,FEEDING ECOLOGY OF PUMA PUMA CONCOLOR IN MEXICAN MONTANE FORESTS WITH COMMENTS ABOUT JAGUAR PANTHERA ONCA,Gomez-Ortiz Yuriana; Monroy-Vilchis Octavio,3,feeding_ecology,,,,,,puma,mammals,carnivore,,,,,ct,Mexico,North America,WILDLIFE BIOLOGY,JUN 2013,2013,19,2,,
117,A NOVEL USE OF CAMERA TRAPS TO STUDY DEMOGRAPHY AND LIFE HISTORY IN WILD ANIMALS: A CASE STUDY OF SPIDER MONKEYS (ATELES BELZEBUTH),Galvis Nelson; Link Andres; Di Fiore Anthony,3,demography ,life history,,,,,spider monkey,mammals,,,primate,,,ct,Ecuador,South and Central America,INTERNATIONAL JOURNAL OF PRIMATOLOGY,OCT 2014,2014,35,5,,
118,SQUIRREL GLIDERS USE ROADSIDE GLIDE POLES TO CROSS A ROAD GAP,Taylor Brendan D.; Goldingay Ross L.,8,presence,,,,green passage,MultiObj,squirell,mammals,,,,,,ct,Australia,Australia,AUSTRALIAN MAMMALOGY,2013,2013,35,1,,
119,CRYPTIC MAMMALS CAUGHT ON CAMERA: ASSESSING THE UTILITY OF RANGE WIDE CAMERA TRAP DATA FOR CONSERVING THE ENDANGERED ASIAN TAPIR,Linkie Matthew; Guillera-Arroita Gurutzeta; Smith Joseph; Ario Anton; Bertagnolio Gregoire; Cheong Francis; Clements Gopalasamy Reuben; Dinata Yoan; Duangchantrasiri Somphot; Fredriksson Gabriella; Gumal Melvin T.; Horng Liang Song; Kawanishi Kae; Khakim Faesal Rakhman; Kinnaird Margaret F.; Kiswayadi Dedy; Lubis Abu H.; Lynam Antony J.; Maryati; Maung Myint; Ngoprasert Dusit; Novarino Wilson; O'Brien Timothy G.; Parakkasi Karmila; Peters Helga; Priatna Dolly; Rayan D. Mark; Seuaturien Naret; Shwe Nay Myo; Steinmetz Robert; Sugesti Arif M.; Sunarto; Sunquist Melvin E.; Umponjan Mayuree; Wibisono Hariyo T.; Wong Christopher C. T.; Zulfahmi,5,presence,,,,fragmentation,MultiObj,tapir,mammals,,Ungulates,,,ocupancy,ct,Asia,Asia,BIOLOGICAL CONSERVATION,JUN 2013,2013,162,,,
120,REPRODUCTIVE CHARACTERISTICS OF FEMALE BENGAL TIGERS IN RANTHAMBHORE TIGER RESERVE INDIA,Singh Randeep; Qureshi Qamar; Sankar Kalyanasundaram; Krausman Paul R.; Goyal Surendra Prakash,4,behaviour,reproductive characteristic,,,,MultiObj,tiger,mammals,carnivore,,,,,ct,India,Asia,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,AUG 2014,2014,60,4,,
121,COMPARISON OF OCCUPANCY MODELING AND RADIOTELEMETRY TO ESTIMATE UNGULATE POPULATION DYNAMICS,Duquette Jared F.; Belant Jerrold L.; Svoboda Nathan J.; Beyer Dean E. Jr.; Albright Craig A.,3,occupancy,,,,,,ungulates,mammals,,,,,occu,ct telemetry,USA,North America,POPULATION ECOLOGY,JUL 2014,2014,56,3,,
122,SURPRISING LOW ABUNDANCE OF EUROPEAN WILDCATS IN A MEDITERRANEAN PROTECTED AREA OF SOUTHWESTERN SPAIN,Soto Carolina A.; Palomares Francisco,2,abundance,,,,,,wild cat,mammals,carnivore,,,,,ct,Spain,Europe,MAMMALIA,FEB 2014,2014,78,1,,
123,THE DIET AND PRESENCE OF AFRICAN WILD DOGS (LYCAON PICTUS) ON PRIVATE LAND IN THE WATERBERG REGION SOUTH AFRICA,Ramnanan Rivona; Swanepoel Lourens H.; Somers Michael J.,2,presence,diet,,,,MultiObj,wild dogs,mammals,carnivore,,,,,ct scat,South Africa,Africa,SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH,APR 2013,2013,43,1,,
124,PATTERNS OF DETECTION AND CAPTURE ARE ASSOCIATED WITH COHABITING PREDATORS AND PREY,Lazenby Billie T.; Dickman Christopher R.,14,interaction,prey predator,,,,MultiObj,,,,,,,,ct,Australia,Australia,PLOS ONE,APR 2 2013,2013,8,4,,
125,PREDICTING LOCAL EXTINCTIONS OF AMAZONIAN VERTEBRATES IN FOREST ISLANDS CREATED BY A MEGA DAM,Benchimol Maira; Peres Carlos A.,7,occupancy,,,,fragmentation hunting,MultiObj,,,,,,,,ct transects survey,Brazil,South and Central America,BIOLOGICAL CONSERVATION,JUL 2015,2015,187,,,
126,A HIERARCHICAL DISTANCE SAMPLING APPROACH TO ESTIMATING MORTALITY RATES FROM OPPORTUNISTIC CARCASS SURVEILLANCE DATA,Bellan Steve E.; Gimenez Olivier; Choquet Remi; Getz Wayne M.,10,mortality_rates,,,,,,,,,,,,,ct collection,Namibia,Africa,METHODS IN ECOLOGY AND EVOLUTION,APR 2013,2013,4,4,,
